Percentage,Backlog,Internship,First_Round,Communication_Skills,Hired,
81,0,1,75,80,1,
70,0,3,87,70,1,
81,2,3,75,67,0,
56,3,3,42,76,0,
74,4,3,82,75,1,
69,0,2,74,71,1,
46,3,1,67,86,0,
70,0,1,78,75,1,
85,1,1,65,72,1,
70,1,1,80,85,1,
90,0,1,88,89,1,
70,0,1,84,75,1,
69,0,1,66,71,1,
70,2,0,85,73,1,
70,0,1,67,73,1,
67,1,1,64,75,1,
80,0,1,68,77,1,
67,0,1,66,78,1,
89,0,1,78,80,1,
90,0,1,90,89,1,
87,0,1,88,85,1,
68,0,1,80,97,1,
69,0,1,78,80,1,
80,0,1,84,80,1,
80,1,1,76,80,1,
80,1,1,88,84,1,
87,0,1,85,85,1,
75,0,2,80,90,1,
90,0,3,70,75,1,
88,0,3,85,92,1,
70,0,1,70,87,1,
75,2,3,85,80,1,
80,0,1,85,80,1,
80,2,4,88,80,1,
80,2,3,82,77,1,
77,2,3,81,77,1,
60,0,1,80,80,0,
68,5,1,80,73,0,
76,5,1,70,72,0,
80,0,2,70,65,0,
77,0,0,80,65,0,
70,0,2,55,80,0,
60,0,0,62,80,0,
55,4,1,67,75,0,
50,2,2,55,66,0,
80,0,2,60,60,0,
75,0,2,75,80,1,
72,1,4,70,80,1,
79,3,4,85,76,1,
80,1,2,87,78,1,
87,1,3,70,78,1,
99,0,5,90,89,1,
92,0,4,89,78,1,
67,4,7,92,75,1,
80,2,4,80,80,1,
98,1,4,80,89,1,
76,0,7,90,80,1,
87,0,6,80,10,0,
56,5,0,54,40,0,
64,0,0,56,55,0,
67,4,6,60,55,0,
89,0,0,55,44,0,
61,4,0,44,20,0,
45,1,0,45,65,0,
50,3,0,50,50,0,
56,1,0,66,55,0,
34,9,10,50,60,0,
45,2,0,55,43,0,
86,1,1,78,70,1,
72,3,5,89,73,1,
70,1,1,70,75,1,
95,2,6,65,85,1,
65,5,5,92,82,1,
69,1,2,82,82,1,
92,3,5,96,92,1,
82,2,3,62,93,1,
85,0,4,85,90,1,
65,1,1,65,70,1,
92,4,4,83,72,1,
85,1,2,80,90,1,
50,3,4,55,100,1,
93,1,5,82,92,1,
80,0,5,80,90,1,
65,2,3,65,75,1,
